Ware_house_ID,segment,assigned_by
WH_100028,0,rule: unrated
WH_100035,0,rule: unrated
WH_100038,0,rule: unrated
WH_100099,0,rule: unrated
WH_100117,0,rule: unrated
WH_100176,0,rule: unrated
WH_100188,0,rule: unrated
WH_100192,0,rule: unrated
WH_100195,0,rule: unrated
WH_100222,0,rule: unrated
WH_100264,0,rule: unrated
WH_100266,0,rule: unrated
WH_100281,0,rule: unrated
WH_100350,0,rule: unrated
WH_100390,0,rule: unrated
WH_100392,0,rule: unrated
WH_100421,0,rule: unrated
WH_100453,0,rule: unrated
WH_100475,0,rule: unrated
WH_100511,0,rule: unrated
WH_100582,0,rule: unrated
WH_100602,0,rule: unrated
WH_100622,0,rule: unrated
WH_100627,0,rule: unrated
WH_100641,0,rule: unrated
WH_100659,0,rule: unrated
WH_100735,0,rule: unrated
WH_100762,0,rule: unrated
WH_100768,0,rule: unrated
WH_100779,0,rule: unrated
WH_100800,0,rule: unrated
WH_100824,0,rule: unrated
WH_100881,0,rule: unrated
WH_100892,0,rule: unrated
WH_100901,0,rule: unrated
WH_100923,0,rule: unrated
WH_100982,0,rule: unrated
WH_100987,0,rule: unrated
WH_101046,0,rule: unrated
WH_101047,0,rule: unrated
WH_101092,0,rule: unrated
WH_101095,0,rule: unrated
WH_101106,0,rule: unrated
WH_101208,0,rule: unrated
WH_101271,0,rule: unrated
WH_101287,0,rule: unrated
WH_101320,0,rule: unrated
WH_101324,0,rule: unrated
WH_101358,0,rule: unrated
WH_101364,0,rule: unrated
WH_101485,0,rule: unrated
WH_101492,0,rule: unrated
WH_101501,0,rule: unrated
WH_101650,0,rule: unrated
WH_101658,0,rule: unrated
WH_101662,0,rule: unrated
WH_101681,0,rule: unrated
WH_101744,0,rule: unrated
WH_101768,0,rule: unrated
WH_101832,0,rule: unrated
WH_101835,0,rule: unrated
WH_101889,0,rule: unrated
WH_101892,0,rule: unrated
WH_101919,0,rule: unrated
WH_101936,0,rule: unrated
WH_102001,0,rule: unrated
WH_102017,0,rule: unrated
WH_102048,0,rule: unrated
WH_102053,0,rule: unrated
WH_102073,0,rule: unrated
WH_102153,0,rule: unrated
WH_102174,0,rule: unrated
WH_102187,0,rule: unrated
WH_102225,0,rule: unrated
WH_102228,0,rule: unrated
WH_102254,0,rule: unrated
WH_102273,0,rule: unrated
WH_102301,0,rule: unrated
WH_102308,0,rule: unrated
WH_102333,0,rule: unrated
WH_102387,0,rule: unrated
WH_102392,0,rule: unrated
WH_102442,0,rule: unrated
WH_102448,0,rule: unrated
WH_102486,0,rule: unrated
WH_102507,0,rule: unrated
WH_102520,0,rule: unrated
WH_102610,0,rule: unrated
WH_102744,0,rule: unrated
WH_102761,0,rule: unrated
WH_102792,0,rule: unrated
WH_102804,0,rule: unrated
WH_102811,0,rule: unrated
WH_102843,0,rule: unrated
WH_102874,0,rule: unrated
WH_102879,0,rule: unrated
WH_102882,0,rule: unrated
WH_102920,0,rule: unrated
WH_102930,0,rule: unrated
WH_102939,0,rule: unrated
WH_102998,0,rule: unrated
WH_103025,0,rule: unrated
WH_103040,0,rule: unrated
WH_103101,0,rule: unrated
WH_103194,0,rule: unrated
WH_103208,0,rule: unrated
WH_103218,0,rule: unrated
WH_103240,0,rule: unrated
WH_103263,0,rule: unrated
WH_103264,0,rule: unrated
WH_103282,0,rule: unrated
WH_103284,0,rule: unrated
WH_103294,0,rule: unrated
WH_103333,0,rule: unrated
WH_103346,0,rule: unrated
WH_103365,0,rule: unrated
WH_103368,0,rule: unrated
WH_103371,0,rule: unrated
WH_103426,0,rule: unrated
WH_103468,0,rule: unrated
WH_103509,0,rule: unrated
WH_103537,0,rule: unrated
WH_103564,0,rule: unrated
WH_103606,0,rule: unrated
WH_103627,0,rule: unrated
WH_103631,0,rule: unrated
WH_103661,0,rule: unrated
WH_103663,0,rule: unrated
WH_103671,0,rule: unrated
WH_103692,0,rule: unrated
WH_103695,0,rule: unrated
WH_103734,0,rule: unrated
WH_103757,0,rule: unrated
WH_103849,0,rule: unrated
WH_103870,0,rule: unrated
WH_103903,0,rule: unrated
WH_103914,0,rule: unrated
WH_103927,0,rule: unrated
WH_103937,0,rule: unrated
WH_103952,0,rule: unrated
WH_103965,0,rule: unrated
WH_104045,0,rule: unrated
WH_104066,0,rule: unrated
WH_104079,0,rule: unrated
WH_104087,0,rule: unrated
WH_104095,0,rule: unrated
WH_104129,0,rule: unrated
WH_104130,0,rule: unrated
WH_104167,0,rule: unrated
WH_104171,0,rule: unrated
WH_104251,0,rule: unrated
WH_104273,0,rule: unrated
WH_104278,0,rule: unrated
WH_104293,0,rule: unrated
WH_104294,0,rule: unrated
WH_104312,0,rule: unrated
WH_104401,0,rule: unrated
WH_104417,0,rule: unrated
WH_104480,0,rule: unrated
WH_104513,0,rule: unrated
WH_104517,0,rule: unrated
WH_104548,0,rule: unrated
WH_104576,0,rule: unrated
WH_104579,0,rule: unrated
WH_104584,0,rule: unrated
WH_104588,0,rule: unrated
WH_104611,0,rule: unrated
WH_104614,0,rule: unrated
WH_104629,0,rule: unrated
WH_104633,0,rule: unrated
WH_104663,0,rule: unrated
WH_104690,0,rule: unrated
WH_104735,0,rule: unrated
WH_104736,0,rule: unrated
WH_104745,0,rule: unrated
WH_104799,0,rule: unrated
WH_104879,0,rule: unrated
WH_104889,0,rule: unrated
WH_104979,0,rule: unrated
WH_104989,0,rule: unrated
WH_105022,0,rule: unrated
WH_105030,0,rule: unrated
WH_105127,0,rule: unrated
WH_105176,0,rule: unrated
WH_105215,0,rule: unrated
WH_105317,0,rule: unrated
WH_105319,0,rule: unrated
WH_105332,0,rule: unrated
WH_105347,0,rule: unrated
WH_105353,0,rule: unrated
WH_105454,0,rule: unrated
WH_105471,0,rule: unrated
WH_105521,0,rule: unrated
WH_105534,0,rule: unrated
WH_105569,0,rule: unrated
WH_105580,0,rule: unrated
WH_105653,0,rule: unrated
WH_105680,0,rule: unrated
WH_105708,0,rule: unrated
WH_105756,0,rule: unrated
WH_105768,0,rule: unrated
WH_105795,0,rule: unrated
WH_105824,0,rule: unrated
WH_105829,0,rule: unrated
WH_105861,0,rule: unrated
WH_105878,0,rule: unrated
WH_105909,0,rule: unrated
WH_105970,0,rule: unrated
WH_106010,0,rule: unrated
WH_106018,0,rule: unrated
WH_106062,0,rule: unrated
WH_106120,0,rule: unrated
WH_106129,0,rule: unrated
WH_106135,0,rule: unrated
WH_106178,0,rule: unrated
WH_106231,0,rule: unrated
WH_106273,0,rule: unrated
WH_106295,0,rule: unrated
WH_106315,0,rule: unrated
WH_106325,0,rule: unrated
WH_106394,0,rule: unrated
WH_106451,0,rule: unrated
WH_106482,0,rule: unrated
WH_106495,0,rule: unrated
WH_106519,0,rule: unrated
WH_106533,0,rule: unrated
WH_106540,0,rule: unrated
WH_106590,0,rule: unrated
WH_106612,0,rule: unrated
WH_106657,0,rule: unrated
WH_106665,0,rule: unrated
WH_106685,0,rule: unrated
WH_106696,0,rule: unrated
WH_106704,0,rule: unrated
WH_106713,0,rule: unrated
WH_106717,0,rule: unrated
WH_106734,0,rule: unrated
WH_106737,0,rule: unrated
WH_106850,0,rule: unrated
